"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 26, 2021","5,703.22","5,715.69","5,768.03","5,688.26","126.43M","-1.39%"
"Feb 25, 2021","5,783.89","5,824.72","5,834.36","5,783.89","99.04M","-0.24%"
"Feb 24, 2021","5,797.98","5,769.21","5,804.14","5,758.30","83.30M","0.31%"
"Feb 23, 2021","5,779.84","5,781.24","5,804.90","5,721.92","93.39M","0.21%"
"Feb 22, 2021","5,767.44","5,737.47","5,776.64","5,703.48","83.87M","-0.11%"
"Feb 19, 2021","5,773.55","5,737.19","5,784.90","5,733.84","95.52M","0.79%"
"Feb 18, 2021","5,728.33","5,757.75","5,779.01","5,720.58","95.21M","-0.65%"
"Feb 17, 2021","5,765.84","5,762.01","5,790.27","5,752.85","89.77M","-0.36%"
"Feb 16, 2021","5,786.53","5,796.43","5,797.92","5,768.96","69.74M","0.00%"
"Feb 15, 2021","5,786.25","5,732.30","5,801.38","5,722.16","95.60M","1.45%"
"Feb 12, 2021","5,703.67","5,651.67","5,705.02","5,627.99","74.87M","0.60%"
"Feb 11, 2021","5,669.82","5,684.94","5,692.00","5,656.80","85.82M","-0.02%"
"Feb 10, 2021","5,670.80","5,719.32","5,719.32","5,647.28","80.61M","-0.36%"
"Feb 09, 2021","5,691.54","5,703.53","5,703.53","5,674.43","74.73M","0.10%"
"Feb 08, 2021","5,686.03","5,688.68","5,714.28","5,673.63","75.60M","0.47%"
"Feb 05, 2021","5,659.26","5,638.74","5,673.03","5,627.84","90.03M","0.90%"
"Feb 04, 2021","5,608.54","5,568.39","5,613.95","5,566.58","84.65M","0.82%"
"Feb 03, 2021","5,563.05","5,610.59","5,626.41","5,554.09","81.32M","-0.00%"
"Feb 02, 2021","5,563.11","5,510.62","5,574.77","5,509.24","92.32M","1.86%"
"Feb 01, 2021","5,461.68","5,441.43","5,481.67","5,429.78","75.05M","1.16%"
"Jan 29, 2021","5,399.21","5,421.53","5,474.80","5,399.21","109.39M","-2.02%"
"Jan 28, 2021","5,510.52","5,407.74","5,525.95","5,379.22","113.18M","0.93%"
"Jan 27, 2021","5,459.62","5,517.53","5,545.45","5,401.43","123.36M","-1.16%"
"Jan 26, 2021","5,523.52","5,473.25","5,555.28","5,471.09","84.02M","0.93%"
"Jan 25, 2021","5,472.36","5,579.73","5,584.40","5,453.24","103.15M","-1.57%"
"Jan 22, 2021","5,559.57","5,568.88","5,573.71","5,511.44","89.45M","-0.56%"
"Jan 21, 2021","5,590.79","5,660.27","5,665.98","5,589.80","87.61M","-0.67%"
"Jan 20, 2021","5,628.44","5,615.41","5,646.06","5,602.49","78.55M","0.53%"
"Jan 19, 2021","5,598.61","5,647.75","5,655.22","5,592.20","89.50M","-0.33%"
"Jan 18, 2021","5,617.27","5,584.85","5,618.42","5,584.59","62.12M","0.10%"
"Jan 15, 2021","5,611.69","5,648.70","5,656.45","5,563.74","127.62M","-1.22%"
"Jan 14, 2021","5,681.14","5,662.17","5,690.49","5,656.75","104.62M","0.33%"
